cve_id,cwe,cvss_v31_base_score,cvss_v31_exploitability_score,cvss_v31_impact_score,cvss_v2_base_score,cvss_v2_exploitability_score,cvss_v2_impact_score,fuente_cisa,fuente_nuclei
CVE-2010-1461,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1469,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1470,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1471,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1472,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1473,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1474,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1475,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1476,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1478,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1491,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1494,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1495,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1531,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1532,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1533,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1534,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1535,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1540,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1586,CWE-20,,,,4.3,8.6,2.9,False,True
CVE-2010-1601,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1602,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1603,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1607,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1653,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1657,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1658,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1659,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1714,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1715,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1717,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1718,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1719,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1722,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1723,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1858,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1870,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2010-1871,CWE-917,8.8,2.8,5.9,6.8,8.6,6.4,True,False
CVE-2010-1875,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1878,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1952,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1953,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1954,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1955,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1956,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1957,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1977,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1979,CWE-22,,,,6.8,8.6,6.4,False,True
